"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Egy oldalon megjelenített szálláshelyek száma.","1101","Szálláshelyek listázása","test","2026-09-14","passed","2026-09-14","TestHootel","test_hootel","",""
"A belépés tesztelése","1332","Hootel Login","test","2026-09-14","broken","2026-09-14","TestHootel","test_hootel","",""
